target_x,target_y,pixel_u,pixel_v
5.0,-6.0,362.0,382.5
5.0,-3.0,351.0,413.0
5.0,0.0,318.0,471.0
5.0,3.0,504.0,469.0
5.0,6.0,462.0,390.0
5.0,9.0,423.0,358.5
8.0,-9.0,429.0,509.0
8.0,-3.0,313.0,441.0
8.0,0.0,395.0,386.0
8.0,3.0,522.0,418.0
8.0,6.0,562.0,397.0
